"d","dLabel"
"http://id.nlm.nih.gov/mesh/C000629259","(2E,2E)-4,4-trisulfanediylbis(but-2-enoic acid)"
"http://id.nlm.nih.gov/mesh/C059817","2,4-diacetylphloroglucinol"
"http://id.nlm.nih.gov/mesh/C007265","2-deoxystreptamine"
"http://id.nlm.nih.gov/mesh/D019342","Acetic Acid"
"http://id.nlm.nih.gov/mesh/D000408","Alamethicin"
"http://id.nlm.nih.gov/mesh/D000560","Amdinocillin"
"http://id.nlm.nih.gov/mesh/D000561","Amdinocillin Pivoxil"
"http://id.nlm.nih.gov/mesh/D000583","Amikacin"
"http://id.nlm.nih.gov/mesh/D000658","Amoxicillin"
"http://id.nlm.nih.gov/mesh/D019980","Amoxicillin-Potassium Clavulanate Combination"
"http://id.nlm.nih.gov/mesh/D000666","Amphotericin B"
"http://id.nlm.nih.gov/mesh/D000667","Ampicillin"
"http://id.nlm.nih.gov/mesh/D000841","Anisomycin"
"http://id.nlm.nih.gov/mesh/D000968","Antimycin A"
"http://id.nlm.nih.gov/mesh/D000899","Aurodox"
"http://id.nlm.nih.gov/mesh/D017963","Azithromycin"
"http://id.nlm.nih.gov/mesh/D001390","Azlocillin"
"http://id.nlm.nih.gov/mesh/D001398","Aztreonam"
"http://id.nlm.nih.gov/mesh/C115651","BM 212"
"http://id.nlm.nih.gov/mesh/D001414","Bacitracin"
"http://id.nlm.nih.gov/mesh/D001430","Bacteriocins"
"http://id.nlm.nih.gov/mesh/D001455","Bambermycins"
"http://id.nlm.nih.gov/mesh/D001865","Bongkrekic Acid"
"http://id.nlm.nih.gov/mesh/D020126","Brefeldin A"
"http://id.nlm.nih.gov/mesh/D002076","Butirosin Sulfate"
"http://id.nlm.nih.gov/mesh/C107030","CS 834"
"http://id.nlm.nih.gov/mesh/D000001","Calcimycin"
"http://id.nlm.nih.gov/mesh/D002174","Candicidin"
"http://id.nlm.nih.gov/mesh/D002207","Capreomycin"
"http://id.nlm.nih.gov/mesh/D002228","Carbenicillin"
"http://id.nlm.nih.gov/mesh/D002323","Carfecillin"
"http://id.nlm.nih.gov/mesh/D002433","Cefaclor"
"http://id.nlm.nih.gov/mesh/D002434","Cefadroxil"
"http://id.nlm.nih.gov/mesh/D002435","Cefamandole"
"http://id.nlm.nih.gov/mesh/D002436","Cefatrizine"
"http://id.nlm.nih.gov/mesh/D002437","Cefazolin"
"http://id.nlm.nih.gov/mesh/D000077525","Cefdinir"
"http://id.nlm.nih.gov/mesh/D000077723","Cefepime"
"http://id.nlm.nih.gov/mesh/D020682","Cefixime"
"http://id.nlm.nih.gov/mesh/D015281","Cefmenoxime"
"http://id.nlm.nih.gov/mesh/D015311","Cefmetazole"
"http://id.nlm.nih.gov/mesh/D015790","Cefonicid"
"http://id.nlm.nih.gov/mesh/D002438","Cefoperazone"
"http://id.nlm.nih.gov/mesh/D002439","Cefotaxime"
"http://id.nlm.nih.gov/mesh/D015313","Cefotetan"
"http://id.nlm.nih.gov/mesh/D015310","Cefotiam"
"http://id.nlm.nih.gov/mesh/D002440","Cefoxitin"
"http://id.nlm.nih.gov/mesh/D002441","Cefsulodin"
"http://id.nlm.nih.gov/mesh/D002442","Ceftazidime"
"http://id.nlm.nih.gov/mesh/D000077722","Ceftibuten"
"http://id.nlm.nih.gov/mesh/D015296","Ceftizoxime"
"http://id.nlm.nih.gov/mesh/D002443","Ceftriaxone"
"http://id.nlm.nih.gov/mesh/D002444","Cefuroxime"
"http://id.nlm.nih.gov/mesh/D002505","Cephacetrile"
"http://id.nlm.nih.gov/mesh/D002506","Cephalexin"
"http://id.nlm.nih.gov/mesh/D002507","Cephaloglycin"
"http://id.nlm.nih.gov/mesh/D002509","Cephaloridine"
"http://id.nlm.nih.gov/mesh/D002511","Cephalosporins"
"http://id.nlm.nih.gov/mesh/D002512","Cephalothin"
"http://id.nlm.nih.gov/mesh/D002513","Cephamycins"
"http://id.nlm.nih.gov/mesh/D002514","Cephapirin"
"http://id.nlm.nih.gov/mesh/D002515","Cephradine"
"http://id.nlm.nih.gov/mesh/D002701","Chloramphenicol"
"http://id.nlm.nih.gov/mesh/D002751","Chlortetracycline"
"http://id.nlm.nih.gov/mesh/D000077728","Cilastatin, Imipenem Drug Combination"
"http://id.nlm.nih.gov/mesh/D002939","Ciprofloxacin"
"http://id.nlm.nih.gov/mesh/D002953","Citrinin"
"http://id.nlm.nih.gov/mesh/D017291","Clarithromycin"
"http://id.nlm.nih.gov/mesh/D002969","Clavulanic Acids"
"http://id.nlm.nih.gov/mesh/D002981","Clindamycin"
"http://id.nlm.nih.gov/mesh/D003023","Cloxacillin"
"http://id.nlm.nih.gov/mesh/D003091","Colistin"
"http://id.nlm.nih.gov/mesh/D003493","Cyclacillin"
"http://id.nlm.nih.gov/mesh/D003609","Dactinomycin"
"http://id.nlm.nih.gov/mesh/D017576","Daptomycin"
"http://id.nlm.nih.gov/mesh/D003707","Demeclocycline"
"http://id.nlm.nih.gov/mesh/D003982","Dibekacin"
"http://id.nlm.nih.gov/mesh/D004009","Dicloxacillin"
"http://id.nlm.nih.gov/mesh/D004096","Dihydrostreptomycin Sulfate"
"http://id.nlm.nih.gov/mesh/D054659","Diketopiperazines"
"http://id.nlm.nih.gov/mesh/D004214","Distamycins"
"http://id.nlm.nih.gov/mesh/D000077726","Doripenem"
"http://id.nlm.nih.gov/mesh/D004318","Doxycycline"
"http://id.nlm.nih.gov/mesh/D004448","Echinomycin"
"http://id.nlm.nih.gov/mesh/D004486","Edeine"
"http://id.nlm.nih.gov/mesh/D015365","Enoxacin"
"http://id.nlm.nih.gov/mesh/D000077422","Enrofloxacin"
"http://id.nlm.nih.gov/mesh/D004776","Enviomycin"
"http://id.nlm.nih.gov/mesh/D000077727","Ertapenem"
"http://id.nlm.nih.gov/mesh/D004917","Erythromycin"
"http://id.nlm.nih.gov/mesh/D004918","Erythromycin Estolate"
"http://id.nlm.nih.gov/mesh/D015643","Erythromycin Ethylsuccinate"
"http://id.nlm.nih.gov/mesh/D000077732","Fidaxomicin"
"http://id.nlm.nih.gov/mesh/D005372","Filipin"
"http://id.nlm.nih.gov/mesh/D005436","Floxacillin"
"http://id.nlm.nih.gov/mesh/D024841","Fluoroquinolones"
"http://id.nlm.nih.gov/mesh/D005578","Fosfomycin"
"http://id.nlm.nih.gov/mesh/D005601","Framycetin"
"http://id.nlm.nih.gov/mesh/D005672","Fusidic Acid"
"http://id.nlm.nih.gov/mesh/C068122","GE 2270 A"
"http://id.nlm.nih.gov/mesh/C000624292","GSK656"
"http://id.nlm.nih.gov/mesh/D000077734","Gatifloxacin"
"http://id.nlm.nih.gov/mesh/D000077735","Gemifloxacin"
"http://id.nlm.nih.gov/mesh/D005839","Gentamicins"
"http://id.nlm.nih.gov/mesh/D006096","Gramicidin"
"http://id.nlm.nih.gov/mesh/D006921","Hygromycin B"
"http://id.nlm.nih.gov/mesh/C000629679","IIIM-MCD-211"
"http://id.nlm.nih.gov/mesh/C000627851","IIS-PAA"
"http://id.nlm.nih.gov/mesh/D015378","Imipenem"
"http://id.nlm.nih.gov/mesh/D015570","Josamycin"
"http://id.nlm.nih.gov/mesh/C057416","KT 5720"
"http://id.nlm.nih.gov/mesh/D007612","Kanamycin"
"http://id.nlm.nih.gov/mesh/D015939","Kitasamycin"
"http://id.nlm.nih.gov/mesh/C000627229","LPC-058"
"http://id.nlm.nih.gov/mesh/D007769","Lactams"
"http://id.nlm.nih.gov/mesh/D007832","Lasalocid"
"http://id.nlm.nih.gov/mesh/D007933","Leucomycins"
"http://id.nlm.nih.gov/mesh/D064704","Levofloxacin"
"http://id.nlm.nih.gov/mesh/D008034","Lincomycin"
"http://id.nlm.nih.gov/mesh/D055231","Lincosamides"
"http://id.nlm.nih.gov/mesh/D000069349","Linezolid"
"http://id.nlm.nih.gov/mesh/D008155","Lucensomycin"
"http://id.nlm.nih.gov/mesh/D008194","Lymecycline"
"http://id.nlm.nih.gov/mesh/C000629703","MSD-819"
"http://id.nlm.nih.gov/mesh/D008272","Mafenide"
"http://id.nlm.nih.gov/mesh/D008613","Mepartricin"
"http://id.nlm.nih.gov/mesh/D000077731","Meropenem"
"http://id.nlm.nih.gov/mesh/D008690","Methacycline"
"http://id.nlm.nih.gov/mesh/D008712","Methicillin"
"http://id.nlm.nih.gov/mesh/D008795","Metronidazole"
"http://id.nlm.nih.gov/mesh/D008802","Mezlocillin"
"http://id.nlm.nih.gov/mesh/D025761","Mikamycin"
"http://id.nlm.nih.gov/mesh/D008911","Minocycline"
"http://id.nlm.nih.gov/mesh/D015644","Miocamycin"
"http://id.nlm.nih.gov/mesh/D009070","Moxalactam"
"http://id.nlm.nih.gov/mesh/D000077266","Moxifloxacin"
"http://id.nlm.nih.gov/mesh/D016712","Mupirocin"
"http://id.nlm.nih.gov/mesh/D009158","Mycobacillin"
"http://id.nlm.nih.gov/mesh/C000626788","N-((2S,3S)-4,4-difluoro-3-hydroxy-1-(hydroxyamino)-3-methyl-1-oxobutan-2-yl)-4-((4-(morpholinomethyl)phenyl)ethynyl)benzamide"
"http://id.nlm.nih.gov/mesh/C000711988","N-carboxyethylchitosan"
"http://id.nlm.nih.gov/mesh/C000629066","N-halamine"
"http://id.nlm.nih.gov/mesh/C033424","N-methyldeoxynojirimycin"
"http://id.nlm.nih.gov/mesh/D009254","Nafcillin"
"http://id.nlm.nih.gov/mesh/D009268","Nalidixic Acid"
"http://id.nlm.nih.gov/mesh/D010866","Natamycin"
"http://id.nlm.nih.gov/mesh/C003903","Nebacetin"
"http://id.nlm.nih.gov/mesh/D009328","Nebramycin"
"http://id.nlm.nih.gov/mesh/D009355","Neomycin"
"http://id.nlm.nih.gov/mesh/D009428","Netilmicin"
"http://id.nlm.nih.gov/mesh/D009429","Netropsin"
"http://id.nlm.nih.gov/mesh/D009550","Nigericin"
"http://id.nlm.nih.gov/mesh/D009561","Nisin"
"http://id.nlm.nih.gov/mesh/D009582","Nitrofurantoin"
"http://id.nlm.nih.gov/mesh/D009643","Norfloxacin"
"http://id.nlm.nih.gov/mesh/D009675","Novobiocin"
"http://id.nlm.nih.gov/mesh/D009761","Nystatin"
"http://id.nlm.nih.gov/mesh/D015242","Ofloxacin"
"http://id.nlm.nih.gov/mesh/D009827","Oleandomycin"
"http://id.nlm.nih.gov/mesh/D009840","Oligomycins"
"http://id.nlm.nih.gov/mesh/D010068","Oxacillin"
"http://id.nlm.nih.gov/mesh/D010093","Oxolinic Acid"
"http://id.nlm.nih.gov/mesh/D010118","Oxytetracycline"
"http://id.nlm.nih.gov/mesh/C072212","PR 39"
"http://id.nlm.nih.gov/mesh/D010303","Paromomycin"
"http://id.nlm.nih.gov/mesh/D015366","Pefloxacin"
"http://id.nlm.nih.gov/mesh/D010397","Penicillanic Acid"
"http://id.nlm.nih.gov/mesh/D010398","Penicillic Acid"
"http://id.nlm.nih.gov/mesh/D010400","Penicillin G"
"http://id.nlm.nih.gov/mesh/D010401","Penicillin G Benzathine"
"http://id.nlm.nih.gov/mesh/D010402","Penicillin G Procaine"
"http://id.nlm.nih.gov/mesh/D010404","Penicillin V"
"http://id.nlm.nih.gov/mesh/D010406","Penicillins"
"http://id.nlm.nih.gov/mesh/D010876","Pipemidic Acid"
"http://id.nlm.nih.gov/mesh/D010878","Piperacillin"
"http://id.nlm.nih.gov/mesh/D000077725","Piperacillin, Tazobactam Drug Combination"
"http://id.nlm.nih.gov/mesh/D010917","Pivampicillin"
"http://id.nlm.nih.gov/mesh/D011112","Polymyxin B"
"http://id.nlm.nih.gov/mesh/D011113","Polymyxins"
"http://id.nlm.nih.gov/mesh/D025762","Pristinamycin"
"http://id.nlm.nih.gov/mesh/D011353","Prodigiosin"
"http://id.nlm.nih.gov/mesh/D012271","Ribostamycin"
"http://id.nlm.nih.gov/mesh/D017828","Rifabutin"
"http://id.nlm.nih.gov/mesh/D012294","Rifamycins"
"http://id.nlm.nih.gov/mesh/D000078262","Rifaximin"
"http://id.nlm.nih.gov/mesh/D012310","Ristocetin"
"http://id.nlm.nih.gov/mesh/D012382","Rolitetracycline"
"http://id.nlm.nih.gov/mesh/D012406","Roxarsone"
"http://id.nlm.nih.gov/mesh/D015575","Roxithromycin"
"http://id.nlm.nih.gov/mesh/D012427","Rutamycin"
"http://id.nlm.nih.gov/mesh/C044640","SM-4300"
"http://id.nlm.nih.gov/mesh/D020123","Sirolimus"
"http://id.nlm.nih.gov/mesh/D012853","Sisomicin"
"http://id.nlm.nih.gov/mesh/D000198","Spectinomycin"
"http://id.nlm.nih.gov/mesh/D015572","Spiramycin"
"http://id.nlm.nih.gov/mesh/D025364","Streptogramin A"
"http://id.nlm.nih.gov/mesh/D025362","Streptogramin Group A"
"http://id.nlm.nih.gov/mesh/D025382","Streptogramin Group B"
"http://id.nlm.nih.gov/mesh/D025361","Streptogramins"
"http://id.nlm.nih.gov/mesh/D013307","Streptomycin"
"http://id.nlm.nih.gov/mesh/D013310","Streptovaricin"
"http://id.nlm.nih.gov/mesh/D013407","Sulbactam"
"http://id.nlm.nih.gov/mesh/D013408","Sulbenicillin"
"http://id.nlm.nih.gov/mesh/D013409","Sulfacetamide"
