"name","region"
"Nicosia","https://sws.geonames.org/146267/"
"Limassol","https://sws.geonames.org/146383/"
"Larnaka","https://sws.geonames.org/146398/"
"Phrakhtaes","https://sws.geonames.org/5653/"
"Glossa tou Shyllou","https://sws.geonames.org/5654/"
"Arkosyia","https://sws.geonames.org/5655/"
"Ammoskatharaes","https://sws.geonames.org/5656/"
"Skaloua Tris Kazoulies","https://sws.geonames.org/5657/"
"Shilliostasha","https://sws.geonames.org/5659/"
"Ammos tou Dhiplarkakou","https://sws.geonames.org/5660/"
"Langouna tou Tarratsou","https://sws.geonames.org/5662/"
"Vounaroudhkia tou Vromonerou","https://sws.geonames.org/5663/"
"Vromonero Kannoudhkia","https://sws.geonames.org/5664/"
"Limnia","https://sws.geonames.org/5665/"
"Aplostres","https://sws.geonames.org/5666/"
"Lamnies","https://sws.geonames.org/5667/"
"Monastery of Saint Nicolas of the Cats","https://sws.geonames.org/5668/"
"Ais Varas","https://sws.geonames.org/5669/"
"Vatha","https://sws.geonames.org/5670/"
"Kavos Ayios Syllas","https://sws.geonames.org/5671/"
"Vounari tou Kambiou","https://sws.geonames.org/5672/"
"Katalymata ton Plakoton","https://sws.geonames.org/5673/"
"Panayiotis","https://sws.geonames.org/5674/"
"Lakkos tou Savva","https://sws.geonames.org/5675/"
"Kapsali","https://sws.geonames.org/5676/"
"Ayios Yeoryios","https://sws.geonames.org/5677/"
"Ktista","https://sws.geonames.org/5678/"
"Limnes tou Ayiou Yeoryiou","https://sws.geonames.org/5684/"
"Poly Nero","https://sws.geonames.org/5685/"
"Panayia Galousa","https://sws.geonames.org/5686/"
"Akrotiri Forest","https://sws.geonames.org/5687/"
"Ayios Dhimitrianos","https://sws.geonames.org/5688/"
"Ayios Theodhoros","https://sws.geonames.org/5689/"
"Alakati","https://sws.geonames.org/5690/"
"Kochinoyia","https://sws.geonames.org/5698/"
"Toumpia","https://sws.geonames.org/5700/"
"Lakkos tis Mavris","https://sws.geonames.org/5704/"
"Monovolikos","https://sws.geonames.org/5705/"
"Vounaro","https://sws.geonames.org/5708/"
"Panayia Kyparishotissa","https://sws.geonames.org/5709/"
"Mantres","https://sws.geonames.org/5710/"
"Kochinoin","https://sws.geonames.org/5711/"
"Jirlaou","https://sws.geonames.org/5718/"
"Shisti","https://sws.geonames.org/5719/"
"Panayia Vounarkotissa","https://sws.geonames.org/5726/"
"Stronjylakas","https://sws.geonames.org/5728/"
"Kourka","https://sws.geonames.org/5729/"
"Ayios Ermoyenis","https://sws.geonames.org/5734/"
"At Meydan","https://sws.geonames.org/5737/"
"Krommya","https://sws.geonames.org/5738/"
"Kourion Stadium","https://sws.geonames.org/5742/"
"Sanctuary of Apollo Hylates","https://sws.geonames.org/5743/"
"Episkopi Forest","https://sws.geonames.org/5745/"
"Apollo","https://sws.geonames.org/5746/"
"Ayios Yeoryios","https://sws.geonames.org/5747/"
"Kliousha","https://sws.geonames.org/5748/"
"Ayios Yeoryios","https://sws.geonames.org/5749/"
"Sýmvoulos","https://sws.geonames.org/5750/"
"Paramali Forest","https://sws.geonames.org/5751/"
"Teratsokambos","https://sws.geonames.org/5752/"
"Mnoukhos","https://sws.geonames.org/5753/"
"Mnoukhos","https://sws.geonames.org/5754/"
"Kouzaleron","https://sws.geonames.org/5755/"
"Mantres","https://sws.geonames.org/5758/"
"Yerakies","https://sws.geonames.org/5759/"
"Ploura","https://sws.geonames.org/5763/"
"Morosyja","https://sws.geonames.org/5764/"
"Amaloo","https://sws.geonames.org/5765/"
"Paramáli","https://sws.geonames.org/5842/"
"Västerbotten","https://sws.geonames.org/2664415/"
"Hesledensgrundet","https://sws.geonames.org/451298/"
"Olnilsgrundet","https://sws.geonames.org/451299/"
"Notnäsudden","https://sws.geonames.org/451300/"
"Sjöpampen","https://sws.geonames.org/452592/"
"Norrbotten","https://sws.geonames.org/604010/"
"Little Bank","https://sws.geonames.org/3247418/"
"Montrose Bank","https://sws.geonames.org/3247419/"
"Aberdeen Bank","https://sws.geonames.org/3247420/"
"Scalp Bank","https://sws.geonames.org/3247421/"
"Marr Bank","https://sws.geonames.org/3247422/"
"Wee Bankie","https://sws.geonames.org/3247423/"
"Berwick Bank","https://sws.geonames.org/3247424/"
"Pafos","https://sws.geonames.org/146213/"
"Kingsfield Airstrip","https://sws.geonames.org/413152/"
"Phasouri Chiftlik","https://sws.geonames.org/414604/"
"Akrotiri Airfield","https://sws.geonames.org/414605/"
"Lady’s Mile Beach","https://sws.geonames.org/414607/"
"Four Mile Crossing","https://sws.geonames.org/414628/"
"Pyla Range Area","https://sws.geonames.org/414630/"
"Vrysoules","https://sws.geonames.org/414650/"
"Gibraltar","https://sws.geonames.org/2411586/"
"Saint Helena","https://sws.geonames.org/3370751/"
"Outer Dowsing","https://sws.geonames.org/2640805/"
"Outer Dowsing Channel","https://sws.geonames.org/2640806/"
"Oaze","https://sws.geonames.org/2641109/"
"Nun Rock","https://sws.geonames.org/2641152/"
"Nun Bank","https://sws.geonames.org/2641159/"
"North Shoal","https://sws.geonames.org/2641264/"
"North Shingles","https://sws.geonames.org/2641266/"
"North Rocks","https://sws.geonames.org/2641275/"
"North Ridge","https://sws.geonames.org/2641277/"
"North Outer Dowsing","https://sws.geonames.org/2641286/"
"North Falls Tail","https://sws.geonames.org/2641358/"
"North Falls Head","https://sws.geonames.org/2641359/"
"Newton Skere","https://sws.geonames.org/2641530/"
"Newcome Sand","https://sws.geonames.org/2641662/"
"The Minch","https://sws.geonames.org/2642453/"
"Middle Sunk","https://sws.geonames.org/2642601/"
"Middle Deep","https://sws.geonames.org/2642618/"
"Middle Bank","https://sws.geonames.org/2642626/"
"Middle Bank","https://sws.geonames.org/2642627/"
"Lynn Knock","https://sws.geonames.org/2643288/"
"Lynn Channel","https://sws.geonames.org/2643290/"
"Long Sand","https://sws.geonames.org/2643640/"
"Little Sunk","https://sws.geonames.org/2644238/"
"Little Sole Bank","https://sws.geonames.org/2644249/"
"The Little Minch","https://sws.geonames.org/2644286/"
"Keryneia","https://sws.geonames.org/146411/"
"Ammochostos","https://sws.geonames.org/146615/"
"Ilektroparagogikós Stathmós Dekéleias","https://sws.geonames.org/15904/"
"Knási","https://sws.geonames.org/15908/"
"Pogazoudhi","https://sws.geonames.org/15910/"
"Lambrines","https://sws.geonames.org/15915/"
"Agía Marína","https://sws.geonames.org/15918/"
"Ágios Vasíleios","https://sws.geonames.org/15919/"
"Kokkinokamino","https://sws.geonames.org/15920/"
"Agios Ioanas","https://sws.geonames.org/15922/"
"Chakkili","https://sws.geonames.org/15923/"
"Pergamos Rural Central School","https://sws.geonames.org/15925/"
"Katapetra","https://sws.geonames.org/15927/"
"Arkangelos","https://sws.geonames.org/15928/"
"Landes","https://sws.geonames.org/15929/"
"Pýrgos Xylofágou","https://sws.geonames.org/19005/"
"Xylophaghou Watch Tower","https://sws.geonames.org/19006/"
"New Pyla","https://sws.geonames.org/19007/"
"Mándres tou Xénou","https://sws.geonames.org/19008/"
"Dhyo Syrmata","https://sws.geonames.org/19009/"
"Ayios Yioryis","https://sws.geonames.org/19029/"
"Ydatodexamení Agíou Nikoláou","https://sws.geonames.org/19031/"
"Lakkos tou Hajidhmitri","https://sws.geonames.org/19109/"
"Ayios Yeoryios Angonas","https://sws.geonames.org/19113/"
